created_at,Place,text,lang
2018-03-18 09:10:02,,"b""RT @bbc5live: The beast from the east is back \xe2\x9d\x84\xef\xb8\x8f\xf0\x9f\x8c\xa8\xef\xb8\x8f\n\nYou've been in touch this morning with your #uksnow pics, here are just a few...\n\nWhat'\xe2\x80\xa6""",en
2018-03-17 20:02:01,,b'These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage\nhttps://t.co/m45UBXJew2',en
2018-03-17 19:21:02,,"b""Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs""",en
2018-03-17 18:32:01,,"b""Ouch! \xf0\x9f\x98\x82\xf0\x9f\x94\xa5@GordonRamsay's daughter is hilarious... \nhttps://t.co/0dqwntX5uj""",en
2018-03-17 18:03:04,,"b""\xf0\x9f\x90\x9c1\xe2\x83\xa32\xe2\x83\xa33\xe2\x83\xa3Sir David Attenborough explores whether there is counting in the natural world. \n\nDavid Attenborough's Natur\xe2\x80\xa6 https://t.co/Q4H4uXR4pt""",en
2018-03-17 17:30:07,,"b""One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho\xe2\x80\xa6 https://t.co/Jjer3V4cYk""",en
2018-03-17 17:00:08,,"b""\xf0\x9f\x8e\x93\xf0\x9f\x93\x9a 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/z8x5mqqKoW""",en
2018-03-17 16:39:39,,b'RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6',en
2018-03-17 15:03:12,,"b'This year, over 250 landmarks across the globe are going green for #StPatricksDay! \xf0\x9f\x8d\x80 https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ'",en
2018-03-17 14:43:43,,"b'RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn\'t remove the need for music"" - #StephenHawking\nhttps://t.co/t\xe2\x80\xa6'",en
2018-03-17 14:00:30,,b'\xe2\x9b\xb7\xe2\x9d\xa4\xef\xb8\x8f George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY',en
2018-03-17 13:46:15,,"b""RT @5liveSport: 'My mates didn't know I was playing @realmadrid'\n\n@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded\xe2\x80\xa6\n\n'A\xe2\x80\xa6""",en
2018-03-17 13:00:08,,"b""Yes, Gary Oldman and @BBCEastEnders' Big Mo are brother and sister. \n\nBut do you know these other celeb family ties\xe2\x80\xa6 https://t.co/dtzMwD3nBB""",en
2018-03-17 12:39:41,,"b""RT @BBCOne: .@NiallOfficial won't let fame get to his head - Ireland won't allow it. \n\nHappy #StPatricksDay \xf0\x9f\x8d\x80 https://t.co/OrWR94HStF""",en
2018-03-17 12:00:09,,b'\xe2\x99\xbb\xef\xb8\x8f\xf0\x9f\x97\x91 This shop encourages you to bring your own container from home to save on single-use plastic waste. https://t.co/TdHJSycKtO',en
2018-03-17 11:30:09,,b'\xf0\x9f\x87\xae\xf0\x9f\x87\xaa \xf0\x9f\x8d\x80 Celebrate #StPatricksDay in true Irish style with these delicious recipes! \xf0\x9f\x91\x89https://t.co/2MCMlz6K0B https://t.co/k18P3Syx2N',en
2018-03-17 11:03:05,,b'From scrambled eggs to chilli-spiced crisps: here are six great ways to cook with kale. \xf0\x9f\x98\x8b\xf0\x9f\x91\x89https://t.co/lqKD1h83Iv https://t.co/yWESBJm62q',en
2018-03-17 10:14:25,,"b""RT @BBCTwo: Happy #StPatricksDay! Check out what's lurking beneath the calm waters of Ireland's west coast... \xf0\x9f\x87\xae\xf0\x9f\x87\xaa\xf0\x9f\xa6\x88 https://t.co/6MQgyLTlIr""",en
2018-03-17 10:00:02,,b'\xf0\x9f\x8e\xb6\xf0\x9f\x90\xa6 Did you know that bullfinches can learn to sing a tune by mimicking humans?\n\n\xf0\x9f\x94\x8a Sound on for this one!  https://t.co/44OFulioZp',en
2018-03-17 09:39:19,,"b""RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit\xe2\x80\xa6""",en
2018-03-17 09:00:06,,b'Ready to get active?\n\xf0\x9f\x8f\x83 Here are 5 ways you can get involved in #SportRelief2018. \n\xf0\x9f\x91\x89 https://t.co/wmKUWBDBjp https://t.co/xr7g5Hw4PK',en
2018-03-16 19:38:34,,"b'RT @BBCR1: This guy just raised over a million pounds for @sportrelief \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\n\nCongratulations on completing a truly mammoth task @gregjames, w\xe2\x80\xa6'",en
2018-03-16 18:31:01,,b'\xf0\x9f\x92\xaa\xf0\x9f\x98\xb2\xe2\x9a\xbd\xef\xb8\x8f Keepy-uppy the good work! https://t.co/lFtKEBxjNJ',en
2018-03-16 17:00:25,,"b""\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\xa7 Bradley has never let Asperger's hold him back from doing what he loves. https://t.co/5JFvIXeDSZ""",en
2018-03-16 16:30:01,,b'Running for the door on a Friday afternoon like...\n#FridayFeeling https://t.co/optoQcK1TV',en
2018-03-16 16:00:00,,"b""\xf0\x9f\x94\x8a\xf0\x9f\x8e\xb5Jarvis Cocker describes the dream-like experience of visiting La Monte Young's Dreamhouse.\xe2\x80\xa6 https://t.co/O9u7sPRL5m""",en
2018-03-16 14:25:15,,"b""RT @BBCR1: The gruelling task of climbing Ben Nevis in underway for @gregjames after cycling 180 miles in a day and a half!\n\nDon't know abo\xe2\x80\xa6""",en
